koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,is_confirmed,log_koi_period,log_koi_prad,log_koi_teq,log_koi_insol,log_koi_depth,stellar_density,planet_to_star_radius_ratio
1.0,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,0.37936,16.1,87.21,2048.0,4148.92,4.602,0.3168,232.27,3862.1846,5945.9,1,611.0,1.0,0.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,,0.3986,-0.7585,-0.001754,,2.22,-3.29,3.97,2.02,-3.67,4.19,1,1.1646295337668027,2.8390784635086144,7.6251071482389,8.330844335930504,8.806229346683947,0.19481793940076483,0.07553068516183271
0.998,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,0.65374,14.59,85.2,1521.0,1264.67,7.541,0.305,130.83832,1725.5824,1741.5,1,384.0,1.0,0.6662,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,0.0,-0.5515,-0.0597,1e-05,0.00036,0.014,-0.013,0.02,-0.028,0.176,0.178,1,1.509064590913013,2.7466296830696852,7.3277805384216315,7.143356905218376,9.12114843747994,0.3705477576826022,0.09207998525710448
1.0,0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.77451,1.16,89.73,1206.0,500.46,10.888,0.2622,4.8657312,41.28873,50.6,2,352.0,2.0,0.605,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,0.009,0.36,0.45,-4.6e-05,-5e-05,0.24,-0.15,0.29,0.16,-0.13,0.21,1,1.549521037205953,0.7701082216960736,7.095893221097532,6.217523843503089,4.883559211528279,0.9124441045547478,0.010394041705196304
0.0,0,1,0,0,11.521446064,170.839688,2.483,3.6399,17984.0,1.27376,150.51,83.13,753.0,75.88,20.75,0.2711,92.901566,628.3708,622.1,1,96.0,1.0,0.154,5795.0,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472,0.895,0.068,-0.038,0.0,0.0001,0.009,-0.009,0.013,0.147,0.037,0.151,0,2.527442859321793,5.020651629371744,6.625392368007956,4.342245764662037,9.797293356129725,1.5382087646177718,1.6253498859630933
0.0,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8918.7,0.03785,7.18,84.93,523.0,17.69,9.099,0.1908,49.468765,320.90817,214.7,1,71.0,1.0,0.806,5043.0,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487,0.048,0.038,-0.005,-0.00038,-0.0002,-0.001,0.009,0.009,-0.147,-0.038,0.152,0,3.0157279096737497,2.1016921506146558,6.261491684321042,2.9279886214674717,9.096017592721482,2.0894819865662524,0.09669252316311139
0.0,0,1,0,0,19.221388942,184.5521637,1.065,4.79843,74284.0,1.57359,49.29,88.05,698.0,55.97,31.323,0.2916,387.658,2174.4263,2317.0,2,55.0,1.0,0.0003,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,0.0,-0.1235,-0.2667,-0.0005,-0.002,0.003,0.005,0.006,-0.018,-0.203,0.203,0,3.0067409027267433,3.9178062501838733,6.54965074223381,4.042524813492304,11.215664326071453,1.2069073395877408,0.47663529712104163
0.0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479.0,0.19353,7.94,88.81,595.0,29.61,14.05,0.2075,43.1625,258.8247,303.4,1,66.0,1.0,0.0112,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,0.0,-0.092,-0.25,0.0007,0.0008,-0.04,-0.004,0.04,0.017,0.001,0.017,0,2.86047583618068,2.190535589185423,6.39024066706535,3.421326752957321,9.257223957875032,1.5259860724301442,0.09250715357585586
1.0,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1288.3,1.93557,2.47,88.93,649.0,41.85,20.65,0.1263,9.616924,71.48005,87.2,1,144.0,1.0,0.0504,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,0.037,-0.05,0.2,0.00034,0.00019,-0.059,-0.008,0.059,0.042,0.344,0.346,1,2.329575719711571,1.244154593958768,6.476972362889683,3.7577056450437887,7.1618547144167914,2.005021237564598,0.03249863163656268
1.0,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,13.09803,2.85,89.5,678.0,50.04,29.31,0.0628,6.876831,52.36939,65.4,1,215.0,1.0,1.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,0.77,-0.32,-0.24,-0.00017,-0.0001,0.11,0.01,0.11,-0.19,-0.24,0.3,1,1.9500875956481645,1.3480731482996928,6.520621127558696,3.9326096390365346,7.556793819916019,2.5077072619722487,0.0388376504447933
0.0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,0.51471,1.58,89.56,1066.0,305.34,5.827,0.1496,5.508401,34.570904,48.2,1,501.0,1.0,0.0505,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,0.0,-1.47,-0.53,0.00047,0.00019,1.08,2.19,2.44,0.89,2.32,2.49,0,1.307351433383305,0.9477893989335261,6.9726062513017535,5.7246955962364074,5.988710758911361,1.4216717334519358,0.0176665011829847
1.0,0,0,0,0,5.349553819,171.80694,0.092,3.0278,831.0,1.73782,2.55,89.62,919.0,168.99,13.8015,0.186,6.0370364,48.504196,60.6,3,247.0,1.0,0.7722,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.002,-0.71,-0.38,0.00055,0.0003,0.04,-0.02,0.04,-0.02,-0.03,0.04,1,1.8483845457115093,1.2669476034873244,6.824373670043086,5.135739611790679,6.723832440821209,1.1027494423219575,0.025661152034778405
0.98,0,0,0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.85636,1.7,88.88,1018.0,253.15,11.51,0.186,4.5118856,22.749151,28.9,3,322.0,2.0,0.923,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.464,0.2,0.38,-8e-05,-0.00013,-0.23,0.35,0.42,-0.24,0.34,0.42,1,1.5975783064946913,0.9932517730102834,6.926577033222725,5.537924643892912,5.897977704014518,1.1027494423219575,0.01710743468985227
0.971,0,0,0,0,8.10904807,132.8031,0.025,3.596,217.4,1.5302,1.3,89.92,800.0,97.03,17.46,0.186,4.434382,9.776852,14.1,3,141.0,3.0,0.7742,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.013,3.8,-0.1,-0.00072,2e-05,-0.11,-0.14,0.18,-0.15,-0.15,0.22,1,2.2092682129471237,0.832909122935104,6.68586094706836,4.585273554273635,5.38632824387075,1.1027494423219575,0.013082155939298797
,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927.0,4.63335,41.5,89.95,297.0,1.84,332.0,0.2251,,,994.0,1,,1.0,,5543.0,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394,0.002,-0.008,0.067,-0.0007,0.0006,0.001,0.037,0.037,0.001,0.163,0.163,0,5.959981756146585,3.7495040759303713,5.697093486505405,1.0438040521731147,10.123746948670474,0.27964319252635184,0.2405295126814114
1.0,0,0,0,0,21.67699193,171.53594,0.896,3.4555,857.2,0.60007,2.95,87.91,530.0,18.64,24.6,0.1451,5.911944,24.54073,34.3,4,62.0,1.0,0.6183,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,0.103,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,-0.28,-0.23,0.36,1,3.121350839110908,1.3737155789130306,6.274762021241939,2.97756830292632,6.7548371725574246,1.3934310159832142,0.0326263913220435
1.0,0,0,0,0,4.99677968,171.74208,0.71,2.1717,934.7,1.71827,2.78,86.9,917.0,166.95,13.14,0.186,4.132564,24.283327,28.2,1,208.0,1.0,0.036,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,0.998,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,-0.06,0.1,0.11,1,1.7912226051423177,1.3297240096314962,6.822197390620491,5.123666316058301,6.841294912281867,1.532143524431682,0.030056523563017065
1.0,0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,1.24482,2.3,87.72,1012.0,247.87,10.64,0.2676,6.7006826,52.913242,61.8,1,311.0,1.0,0.4302,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,0.0,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,-0.015,0.158,0.158,1,1.6641085818245085,1.1939224684724346,6.920671504248683,5.5169306717757145,6.622470331130078,1.6171298916944161,0.025345693215729315
0.0,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,0.84722,4.53,79.38,1452.0,1054.12,4.67,0.2711,9.787732,130.6654,181.1,1,882.0,1.0,1.0,5714.0,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525,0.0,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,0.877,0.734,1.144,0,0.9188291433798816,1.7101878155342436,7.2813856635702825,6.961409783517629,7.701968768276886,1.613644697962316,0.04991999576837122
0.0,0,1,1,0,670.645531,209.04355,0.701,53.412,18091.0,0.02605,14.14,89.53,196.0,0.35,85.24,0.2111,70.64302,96.96236,642.7,1,3.0,1.0,0.0001,5520.0,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207,0.0,-0.551,0.435,0.0175,-0.0049,-1.286,0.227,1.306,-1.047,0.31,1.092,0,6.509730717723765,2.717340248009303,5.2832037287379885,0.30010459245033805,9.803225130597733,1.08436794572263,0.1317265305057777
0.0,0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,0.12411,39.87,87.54,505.0,15.43,29.1,0.3029,31.079844,73.10389,85.3,1,13.0,1.0,0.8513,6144.0,4.402,0.0,1.091,1.093,283.72592,49.479519,15.25,0.156,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,-0.069,-0.028,0.074,0,4.131260743775976,3.7103962975761857,6.226536669287466,2.799108932049177,8.541749209312124,0.8416778731814472,0.33465617791923935
1.0,0,0,0,0,38.3775486,172.82048,0.468,5.588,724.2,1.40588,2.82,89.44,529.0,18.53,47.8,0.224,10.352898,31.946487,34.7,1,37.0,1.0,0.3889,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,0.0,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,-0.01,0.04,0.04,1,3.6731958214003435,1.3402504226184837,6.272877006546167,2.9719517448885875,6.586447478880696,0.822890081771136,0.024926810641096354
0.992,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.9471,3.86,89.96,439.0,8.76,70.75,0.1451,11.918161,37.877567,51.2,3,26.0,2.0,0.1551,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.123,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,0.07,0.03,0.08,1,3.742355172006892,1.5810384379124023,6.0867747269123065,2.278292400425001,7.70296253473323,1.3135450111501443,0.04168394498583178
1.0,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,3.28707,2.65,89.68,823.0,108.3,18.94,0.1451,5.834264,35.96252,47.1,3,167.0,3.0,0.7587,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.236,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,-0.02,0.05,0.05,1,1.9814099714869908,1.2947271675944,6.714170529909472,4.694096395182493,6.944954719971244,1.3135450111501443,0.028617216117216116
1.0,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1121.9,1.10942,3.1,88.14,593.0,29.31,24.7,0.1496,8.468995,31.066507,33.2,1,65.0,1.0,0.8555,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,0.167,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,-0.18,-0.08,0.19,1,2.833982706256498,1.410986973710262,6.386879319362645,3.4114776910697118,7.023669903578493,1.392930714440942,0.03436837577273413
1.0,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,2.79093,3.36,89.98,506.0,15.55,53.95,0.2521,14.0889,61.372303,80.0,2,34.0,1.0,0.6386,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.047,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,0.121,-0.09,0.15,1,3.515381853060713,1.4724720573609429,6.2285110035911835,2.806386101823072,7.498758985873379,1.660862856193882,0.038557933294775394
0.978,0,0,0,0,91.7732862,193.8378,0.606,6.473,652.0,1.60558,2.12,89.61,359.0,3.92,89.4,0.2521,6.9461374,14.678595,19.1,2,11.0,2.0,0.7668,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.599,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,-0.35,-0.55,0.65,1,4.530158734127158,1.1378330018213911,5.886104031450156,1.5933085305042167,6.481577129276431,1.660862856193882,0.02432821981694162
1.0,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802.0,1.46169,12.21,86.15,1103.0,349.4,12.386,0.2602,58.764744,670.4895,696.5,1,269.0,1.0,0.0517,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,0.705,0.0,-0.086,0.00011,-7e-05,-0.018,0.012,0.022,-0.021,-0.077,0.08,1,1.7849562537481962,2.580974118534234,7.00669522683704,5.859075359062237,9.190443740261726,0.7704918253311955,0.10333935934675306
0.0,0,1,1,0,2.701287801,170.69579,1.016,3.3827,860.4,0.02818,6.54,62.69,1222.0,527.81,2.22,0.2327,5.044661,39.745068,48.3,1,387.0,1.0,0.3375,5550.0,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54,0.0,7.84,15.08,-0.00608,-0.01249,3.39,5.48,6.45,3.46,5.52,6.51,0,1.3086808134176477,2.020222182019865,7.109062135687172,6.270629199099972,6.75855897262001,1.179716310739134,0.06581330757154934
1.0,0,0,0,0,4.49876511,171.34905,0.312,3.7362,460.0,0.67106,2.1,88.0,1133.0,389.62,8.95,0.2889,4.435833,26.501581,29.5,1,238.0,1.0,0.1694,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,0.281,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,0.18,0.04,0.19,1,1.7045235415742663,1.1314021114911006,7.033506484287697,5.967735220408745,6.133398042996649,1.1518341526231846,0.01984599507819322
0.0,0,1,0,0,19.651209505,179.401981,0.723,5.2514,11766.0,0.67559,12.42,88.27,730.0,67.03,23.98,0.2889,85.46643,509.4985,513.4,1,59.0,1.0,0.5224,6074.0,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536,0.518,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,-0.028,0.033,0.043,0,3.0277738893624906,2.5967461315435356,6.594413459749778,4.219948784356969,9.37305428246393,0.8441860309045833,0.10699554443674858
1.0,0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,0.51087,2.94,85.12,1093.0,337.68,9.25,0.2676,46.475086,163.47614,166.7,3,244.0,1.0,0.2265,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,0.0,0.007,-0.175,-5.2e-05,-0.000137,-0.03,0.08,0.08,-0.16,-0.18,0.24,1,1.8582030382028938,1.3711807233098425,6.9975959829819265,5.825055708774077,6.401253626696201,0.732657485584927,0.024768240039629182
0.998,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,0.28189,5.5,89.31,516.0,16.72,29.47,0.224,27.788597,124.52492,141.1,1,33.0,1.0,0.4776,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,0.043,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,-0.049,-0.069,0.085,1,3.7480815733590425,1.8718021769015913,6.248042874508429,2.8746939451769347,7.935265330157098,0.8126207261680867,0.048151338782313924
1.0,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,6.73215,2.52,89.95,790.0,91.9,29.18,0.2521,5.6967807,36.34974,43.4,1,127.0,1.0,0.5047,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,0.645,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,0.04,-0.17,0.17,1,2.235792858685056,1.2584609896100059,6.673297967767654,4.531523645819793,6.949472872334005,1.7684104343084113,0.029322646857589674
1.0,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1487.3,0.67162,4.43,85.95,1243.0,565.35,8.45,0.3024,9.387555,94.70979,128.6,1,323.0,1.0,0.6043,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,0.431,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,-0.066,0.036,0.075,1,1.63423656271935,1.691939133945844,7.126087273299125,6.339212261646723,7.3053898079751125,0.8659236291262898,0.03677947920921629
1.0,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,16814.0,2.09079,12.21,89.37,1219.0,521.13,9.571,0.2291,104.64681,1328.3038,1406.8,1,474.0,1.0,0.7998,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,0.0,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,0.032,0.159,0.162,1,1.3393350572025033,2.580974118534234,7.106606137727303,6.257916599022385,9.73002662417437,1.0803873952316283,0.11708187100857259
0.0,0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,0.0371,7.34,86.45,430.0,8.11,13.12,0.1646,52.86124,193.4089,236.1,1,31.0,1.0,0.0299,5040.0,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716,0.0,3.101,0.336,-0.0247,-0.0016,3.254,0.163,3.258,3.353,0.066,3.353,0,3.553452966072751,2.1210632163706555,6.066108090103747,2.209372711271867,9.048374230839235,2.2317184410362225,0.09534201023562724
1.0,0,0,0,0,3.689920099,170.36571,0.151,2.6557,426.7,1.70798,1.89,89.19,1147.0,408.99,10.71,0.2889,4.8750124,31.786789,35.6,1,360.0,1.0,0.4053,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,0.255,-0.27,0.07,0.00017,0.00012,-0.27,0.05,0.27,-0.3,-0.02,0.3,1,1.5454155458525114,1.0612565021243408,7.045776576879511,6.016132769157005,6.058422015232863,1.3098252757535922,0.018874255515476886
1.0,0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,1.01996,3.25,87.72,1104.0,351.23,10.19,0.2555,6.815371,58.259056,71.1,3,302.0,1.0,0.52,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,0.016,0.03,0.82,0.0005,-0.0001,-0.097,0.03,0.1,-0.045,0.06,0.07,1,1.692167190443588,1.4469189829363254,7.007600613951853,5.86428437131023,6.919585030735714,0.9630112126972122,0.029322073657049027
1.0,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1023.5,0.63438,3.95,86.8,806.0,99.68,16.31,0.2555,5.2506146,29.930164,37.9,3,109.0,2.0,0.2364,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,0.372,0.93,0.88,-0.00041,-0.00017,0.09,-0.06,0.11,0.14,-0.05,0.15,1,2.51603136612256,1.599387576580599,6.693323668269949,4.611947170267115,6.931959967678955,0.9630112126972122,0.0356375972139519
1.0,0,0,0,0,26.39432897,176.05459,0.602,3.573,1510.9,2.93923,3.07,89.28,489.0,13.49,47.7,0.1959,8.917681,41.269753,48.2,1,51.0,1.0,0.2735,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,0.592,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,-0.18,0.05,0.18,1,3.3103360200745753,1.4036429994545037,6.194405391104672,2.673458756332591,7.321122416986156,1.9045691665646074,0.03684607223270395
1.0,0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,0.49865,2.64,87.07,785.0,89.61,16.93,0.2676,18.771214,76.76887,88.4,4,101.0,1.0,0.6645,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,0.044,0.61,0.0,-4.4e-05,0.000108,0.26,0.02,0.26,0.37,0.19,0.41,1,2.679018346286148,1.2919836816486494,6.666956792429207,4.5065645822339695,6.239690878789655,0.9175695216279183,0.023889154323936932
1.0,0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,0.23879,1.79,84.02,997.0,233.31,8.62,0.2676,6.1814723,39.793564,47.1,3,181.0,2.0,0.7788,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,0.009,0.29,-0.73,-6.9e-05,6.1e-05,0.03,0.04,0.06,-0.09,-0.21,0.23,1,2.0950618900841347,1.0260415958332743,6.905753276311464,5.456645024927341,5.264760583019194,0.732657485584927,0.01507998288127083
0.014,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,24446.0,7.48712,15.03,89.72,967.0,206.78,27.99,0.2965,115.64278,1044.7283,835.6,1,180.0,1.0,0.0786,6108.0,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27,0.0,-0.054,-0.201,0.0128,0.0041,-0.068,-0.035,0.076,-0.105,-0.061,0.122,0,2.1332964777349894,2.7744619666214616,6.875232087276577,5.3364798276423855,10.104262787988329,1.122781712959182,0.14397213664996092
1.0,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,5.4538,2.0,90.0,433.0,8.35,42.62,0.0718,6.419572,28.122635,28.9,3,65.0,2.0,0.7202,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.204,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,-0.07,0.15,0.17,1,2.8556020064556087,1.0986122886681096,6.073044534100405,2.2353763433005955,7.028290080610875,2.7213121625564862,0.029780517585395634
