koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,is_confirmed
,0,1,0,0,386.6030528,166.342079,2454999.342,0.0,,0.9765,6.8057,,24927.0,0.240528,4.63335,41.5,1.0719,89.95,297.0,1.84,332.0,0.0,0.0,0.2251,0.4707,,,994.0,1,,1.0,,,,5543.0,4.081,0.44,1.58,1.103,,292.27374,37.671558,12.394,12.933,12.322,12.163,12.094,11.151,10.808,10.72,0.002,19.48491512,37.6715786,-0.008,0.067,-0.0007,0.0006,0.001,0.037,0.037,0.001,0.163,0.163,0
1.0,0,0,0,0,21.67699193,171.53594,2455004.536,0.0,,0.896,3.4555,,857.2,0.032666,0.60007,2.95,0.1408,87.91,530.0,18.64,24.6,0.0,0.0,0.1451,0.582,5.911944,24.54073,34.3,4,62.0,1.0,0.6183,,,4954.0,4.5,0.18,0.828,0.791,,290.46512,47.92918,15.377,16.172,15.343,15.036,14.826,13.81,13.298,13.201,0.103,19.364357,47.92911,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,-0.28,-0.23,0.36,1
1.0,0,0,0,0,4.99677968,171.74208,2455004.742,0.0,,0.71,2.1717,,934.7,0.030014,1.71827,2.78,0.0559,86.9,917.0,166.95,13.14,0.0,0.0,0.186,0.5256,4.132564,24.283327,28.2,1,208.0,1.0,0.036,,,5339.0,4.552,0.18,0.847,0.931,,297.80826,47.946671,15.861,16.577,15.805,15.554,15.445,14.448,14.018,13.903,0.998,19.853891,47.94662,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,-0.06,0.1,0.11,1
1.0,0,0,0,0,4.280963604,171.89659,2455004.897,0.0,,0.424,2.875,,750.8,0.025377,1.24482,2.3,0.0503,87.72,1012.0,247.87,10.64,0.0,0.0,0.2676,0.3928,6.7006826,52.913242,61.8,1,311.0,1.0,0.4302,,,5644.0,4.564,-0.14,0.831,0.928,,294.26581,49.314091,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769,0.0,19.6177106,49.314102,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,-0.015,0.158,0.158,1
0.0,0,0,1,0,1.50635409,170.998064,2455003.998,0.0,,0.86,1.5155,,2211.7,0.049899,0.84722,4.53,0.025,79.38,1452.0,1054.12,4.67,0.0,0.0,0.2711,0.3858,9.787732,130.6654,181.1,1,882.0,1.0,1.0,,,5714.0,4.563,-0.2,0.831,0.926,,295.66522,49.351009,15.525,16.051,15.474,15.299,15.23,14.266,13.905,13.821,0.0,19.7110359,49.351189,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,0.877,0.734,1.144,0
0.0,0,1,1,0,670.645531,209.04355,2455042.044,0.0,,0.701,53.412,,18091.0,0.131705,0.02605,14.14,1.5155,89.53,196.0,0.35,85.24,0.0,0.0,0.2111,0.4955,70.64302,96.96236,642.7,1,3.0,1.0,0.0001,,,5520.0,4.466,0.48,0.983,1.03,,296.69861,49.316479,15.207,15.533,14.917,15.068,14.96,13.678,13.317,13.254,0.0,19.7798916,49.316601,-0.551,0.435,0.0175,-0.0049,-1.286,0.227,1.306,-1.047,0.31,1.092,0
0.0,0,1,0,0,61.2563628,173.83826,2455006.838,0.0,,1.248,7.633,,5123.3,0.334628,0.12411,39.87,0.3137,87.54,505.0,15.43,29.1,0.0,0.0,0.3029,0.3239,31.079844,73.10389,85.3,1,13.0,1.0,0.8513,,,6144.0,4.402,0.0,1.091,1.093,,283.72592,49.479519,15.25,15.689,15.199,15.062,15.033,14.203,13.851,13.848,0.156,18.915049,49.479597,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,-0.069,-0.028,0.074,0
1.0,0,0,0,0,38.3775486,172.82048,2455005.82,0.0,,0.468,5.588,,724.2,0.024901,1.40588,2.82,0.2163,89.44,529.0,18.53,47.8,0.0,0.0,0.224,0.4695,10.352898,31.946487,34.7,1,37.0,1.0,0.3889,,,5481.0,4.369,0.16,1.036,0.915,,291.72202,49.480869,15.172,15.654,15.089,14.965,14.874,13.962,13.639,13.497,0.0,19.4481442,49.480618,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,-0.01,0.04,0.04,1
0.992,0,0,0,0,41.19725502,165.00404,2454998.004,0.0,,0.045,4.6297,,2213.9,0.041693,3.9471,3.86,0.217,89.96,439.0,8.76,70.75,0.0,0.0,0.1451,0.582,11.918161,37.877567,51.2,3,26.0,2.0,0.1551,,,5031.0,4.485,0.16,0.848,0.801,,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.123,19.1332861,48.37579,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,0.07,0.03,0.08,1
1.0,0,0,0,0,6.252962249,171.30126,2455004.301,0.0,,0.105,2.5819,,1036.9,0.028604,3.28707,2.65,0.0617,89.68,823.0,108.3,18.94,0.0,0.0,0.1451,0.582,5.834264,35.96252,47.1,3,167.0,3.0,0.7587,,,5031.0,4.485,0.16,0.848,0.801,,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.236,19.1332878,48.375832,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,-0.02,0.05,0.05,1
1.0,0,0,0,0,16.01308419,176.3608,2455009.361,0.0,,0.799,3.2554,,1121.9,0.034369,1.10942,3.1,0.1148,88.14,593.0,29.31,24.7,0.0,0.0,0.1496,0.5746,8.468995,31.066507,33.2,1,65.0,1.0,0.8555,,,5015.0,4.499,0.1,0.826,0.785,,297.02563,48.478588,15.39,16.223,15.342,15.033,14.903,13.855,13.323,13.214,0.167,19.801708,48.47849,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,-0.18,-0.08,0.19,1
1.0,0,0,0,0,32.62876672,194.1019,2455027.102,0.0,,0.021,4.7971,,1804.8,0.03852,2.79093,3.36,0.1889,89.98,506.0,15.55,53.95,0.0,0.0,0.2521,0.421,14.0889,61.372303,80.0,2,34.0,1.0,0.6386,,,5586.0,4.56,-0.3,0.798,0.844,,285.71854,48.505859,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299,0.047,19.0478951,48.505812,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,0.121,-0.09,0.15,1
0.978,0,0,0,0,91.7732862,193.8378,2455026.838,0.0,,0.606,6.473,,652.0,0.02432,1.60558,2.12,0.3764,89.61,359.0,3.92,89.4,0.0,0.0,0.2521,0.421,6.9461374,14.678595,19.1,2,11.0,2.0,0.7668,,,5586.0,4.56,-0.3,0.798,0.844,,285.71854,48.505859,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299,0.599,19.047889,48.50571,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,-0.35,-0.55,0.65,1
1.0,0,0,0,0,4.959319244,172.2585292,2455005.259,0.0,,0.831,2.22739,,9802.0,0.103379,1.46169,12.21,0.0565,86.15,1103.0,349.4,12.386,0.0,0.0,0.2602,0.4096,58.764744,670.4895,696.5,1,269.0,1.0,0.0517,,,5712.0,4.359,0.1,1.082,0.976,,292.16705,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.47780401,48.7275662,0.0,-0.086,0.00011,-7e-05,-0.018,0.012,0.022,-0.021,-0.077,0.08,1
0.0,0,1,1,0,2.701287801,170.69579,2455003.696,0.0,,1.016,3.3827,,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222.0,527.81,2.22,0.0,0.0,0.2327,0.4526,5.044661,39.745068,48.3,1,387.0,1.0,0.3375,,,5550.0,4.468,-0.04,0.91,0.889,,297.92365,48.777321,15.54,16.164,15.463,15.272,15.182,14.09,13.724,13.742,0.0,19.8617971,48.78151,7.84,15.08,-0.00608,-0.01249,3.39,5.48,6.45,3.46,5.52,6.51,0
1.0,0,0,0,0,4.49876511,171.34905,2455004.349,0.0,,0.312,3.7362,,460.0,0.019817,0.67106,2.1,0.0542,88.0,1133.0,389.62,8.95,0.0,0.0,0.2889,0.3511,4.435833,26.501581,29.5,1,238.0,1.0,0.1694,,,6075.0,4.486,-0.12,0.969,1.048,,298.45685,48.791592,15.395,15.874,15.335,15.19,15.084,14.199,13.853,13.807,0.281,19.897146,48.79174,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,0.18,0.04,0.19,1
0.0,0,1,0,0,19.651209505,179.401981,2455012.402,0.0,,0.723,5.2514,,11766.0,0.106953,0.67559,12.42,0.1433,88.27,730.0,67.03,23.98,0.0,0.0,0.2889,0.3511,85.46643,509.4985,513.4,1,59.0,1.0,0.5224,,,6074.0,4.391,-0.12,1.063,1.014,,291.0939,48.933842,15.536,16.02,15.488,15.329,15.243,14.322,14.024,13.921,0.518,19.40625763,48.9338338,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,-0.028,0.033,0.043,0
1.0,0,0,0,0,5.412203927,133.143089,2454966.143,0.0,,0.787,2.9472,,601.6,0.024775,0.51087,2.94,0.0591,85.12,1093.0,337.68,9.25,0.0,0.0,0.2676,0.3928,46.475086,163.47614,166.7,3,244.0,1.0,0.2265,,,5779.0,4.339,-0.06,1.087,0.941,,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.0,19.1924882,46.276192,0.007,-0.175,-5.2e-05,-0.000137,-0.03,0.08,0.08,-0.16,-0.18,0.24,1
0.998,0,0,0,0,41.43958662,208.93203,2455041.932,0.0,,0.355,10.5989,,2793.1,0.048175,0.28189,5.5,0.2288,89.31,516.0,16.72,29.47,0.0,0.0,0.224,0.4695,27.788597,124.52492,141.1,1,33.0,1.0,0.4776,,,5468.0,4.367,0.22,1.046,0.93,,295.55505,49.017342,15.4,16.068,15.32,15.114,14.996,13.948,13.596,13.519,0.043,19.7036699,49.017297,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,-0.049,-0.069,0.085,1
1.0,0,0,0,0,8.35389523,171.63257,2455004.633,0.0,,0.023,2.2514,,1041.6,0.029305,6.73215,2.52,0.0768,89.95,790.0,91.9,29.18,0.0,0.0,0.2521,0.421,5.6967807,36.34974,43.4,1,127.0,1.0,0.5047,,,5592.0,4.582,-0.28,0.787,0.862,,285.49924,49.277351,15.317,15.862,15.267,15.083,14.985,13.996,13.582,13.533,0.645,19.033292,49.277375,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,0.04,-0.17,0.17,1
1.0,0,0,0,0,4.125543472,169.752585,2455002.753,0.0,,0.597,3.1744,,1487.3,0.036796,0.67162,4.43,0.0529,85.95,1243.0,565.35,8.45,0.0,0.0,0.3024,0.3288,9.387555,94.70979,128.6,1,323.0,1.0,0.6043,,,6174.0,4.417,0.1,1.103,1.162,,291.93616,49.253979,15.506,15.977,15.453,15.305,15.253,14.38,14.083,14.198,0.431,19.4624133,49.254001,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,-0.066,0.036,0.075,1
1.0,0,0,0,0,2.816504904,170.9676846,2455003.968,0.0,,0.105,2.50587,,16814.0,0.117059,2.09079,12.21,0.0383,89.37,1219.0,521.13,9.571,0.0,0.0,0.2291,0.4603,104.64681,1328.3038,1406.8,1,474.0,1.0,0.7998,,,5532.0,4.452,0.14,0.955,0.941,,297.01547,49.225288,15.052,15.636,14.988,14.802,14.685,13.732,13.393,13.315,0.0,19.8010403,49.2253781,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,0.032,0.159,0.162,1
0.0,0,1,1,0,33.93373447,186.67608,2455019.676,0.0,,0.812,14.561,,8503.7,0.095386,0.0371,7.34,0.1881,86.45,430.0,8.11,13.12,0.0,0.0,0.1646,0.5508,52.86124,193.4089,236.1,1,31.0,1.0,0.0299,,,5040.0,4.628,-0.24,0.705,0.782,,284.17233,49.360722,15.716,16.453,15.673,15.4,15.253,14.249,13.732,13.748,0.0,18.9449095,49.360813,3.101,0.336,-0.0247,-0.0016,3.254,0.163,3.258,3.353,0.066,3.353,0
