model,acc_train,f1_train,acc_val,f1_val,acc_test,f1_test,auc_test
Random Forest (físicas),0.979092107741571,0.9715311618363683,0.9666080843585237,0.9543269230769231,0.9639718804920914,0.9511323003575686,0.9919862793869855
MLP (físicas),0.9996232812205689,0.9994797086368367,0.9499121265377856,0.9315726290516206,0.9543057996485061,0.9379474940334129,0.9824497178314479
SVM RBF (físicas),0.9649651535129026,0.9533600802407222,0.9569420035149385,0.9422850412249706,0.9507908611599297,0.9344262295081968,0.9863863703228222
Regresión logística (físicas),0.9355810887172725,0.9150099403578529,0.9340949033391915,0.9132947976878613,0.9305799648506151,0.9078179696616102,0.9787136590975956
Árbol de decisión (físicas),0.9340742135995479,0.91455078125,0.9226713532513181,0.8997722095671982,0.9235500878734623,0.9010238907849829,0.9474377490705823
KNN (físicas),1.0,1.0,0.9244288224956063,0.9016018306636155,0.9165202108963093,0.8921679909194098,0.9734129690550696
Dummy (clase mayoritaria),0.6379732529666604,0.0,0.6379613356766256,0.0,0.6379613356766256,0.0,0.5
