koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,is_confirmed
0.0,0,1,0,0,19.221388942,184.5521637,1.065,4.79843,74284.0,1.57359,49.29,88.05,698.0,55.97,31.323,0.2916,387.658,2174.4263,2317.0,2,55.0,1.0,0.0003,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,0.0,-0.1235,-0.2667,-0.0005,-0.002,0.003,0.005,0.006,-0.018,-0.203,0.203,0
0.0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479.0,0.19353,7.94,88.81,595.0,29.61,14.05,0.2075,43.1625,258.8247,303.4,1,66.0,1.0,0.0112,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,0.0,-0.092,-0.25,0.0007,0.0008,-0.04,-0.004,0.04,0.017,0.001,0.017,0
1.0,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1288.3,1.93557,2.47,88.93,649.0,41.85,20.65,0.1263,9.616924,71.48005,87.2,1,144.0,1.0,0.0504,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,0.037,-0.05,0.2,0.00034,0.00019,-0.059,-0.008,0.059,0.042,0.344,0.346,1
1.0,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,13.09803,2.85,89.5,678.0,50.04,29.31,0.0628,6.876831,52.36939,65.4,1,215.0,1.0,1.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,0.77,-0.32,-0.24,-0.00017,-0.0001,0.11,0.01,0.11,-0.19,-0.24,0.3,1
0.0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,0.51471,1.58,89.56,1066.0,305.34,5.827,0.1496,5.508401,34.570904,48.2,1,501.0,1.0,0.0505,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,0.0,-1.47,-0.53,0.00047,0.00019,1.08,2.19,2.44,0.89,2.32,2.49,0
1.0,0,0,0,0,5.349553819,171.80694,0.092,3.0278,831.0,1.73782,2.55,89.62,919.0,168.99,13.8015,0.186,6.0370364,48.504196,60.6,3,247.0,1.0,0.7722,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.002,-0.71,-0.38,0.00055,0.0003,0.04,-0.02,0.04,-0.02,-0.03,0.04,1
0.98,0,0,0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.85636,1.7,88.88,1018.0,253.15,11.51,0.186,4.5118856,22.749151,28.9,3,322.0,2.0,0.923,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.464,0.2,0.38,-8e-05,-0.00013,-0.23,0.35,0.42,-0.24,0.34,0.42,1
0.971,0,0,0,0,8.10904807,132.8031,0.025,3.596,217.4,1.5302,1.3,89.92,800.0,97.03,17.46,0.186,4.434382,9.776852,14.1,3,141.0,3.0,0.7742,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,0.013,3.8,-0.1,-0.00072,2e-05,-0.11,-0.14,0.18,-0.15,-0.15,0.22,1
,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927.0,4.63335,41.5,89.95,297.0,1.84,332.0,0.2251,,,994.0,1,,1.0,,5543.0,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394,0.002,-0.008,0.067,-0.0007,0.0006,0.001,0.037,0.037,0.001,0.163,0.163,0
1.0,0,0,0,0,21.67699193,171.53594,0.896,3.4555,857.2,0.60007,2.95,87.91,530.0,18.64,24.6,0.1451,5.911944,24.54073,34.3,4,62.0,1.0,0.6183,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,0.103,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,-0.28,-0.23,0.36,1
1.0,0,0,0,0,4.99677968,171.74208,0.71,2.1717,934.7,1.71827,2.78,86.9,917.0,166.95,13.14,0.186,4.132564,24.283327,28.2,1,208.0,1.0,0.036,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,0.998,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,-0.06,0.1,0.11,1
1.0,0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,1.24482,2.3,87.72,1012.0,247.87,10.64,0.2676,6.7006826,52.913242,61.8,1,311.0,1.0,0.4302,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,0.0,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,-0.015,0.158,0.158,1
0.0,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,0.84722,4.53,79.38,1452.0,1054.12,4.67,0.2711,9.787732,130.6654,181.1,1,882.0,1.0,1.0,5714.0,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525,0.0,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,0.877,0.734,1.144,0
0.0,0,1,1,0,670.645531,209.04355,0.701,53.412,18091.0,0.02605,14.14,89.53,196.0,0.35,85.24,0.2111,70.64302,96.96236,642.7,1,3.0,1.0,0.0001,5520.0,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207,0.0,-0.551,0.435,0.0175,-0.0049,-1.286,0.227,1.306,-1.047,0.31,1.092,0
0.0,0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,0.12411,39.87,87.54,505.0,15.43,29.1,0.3029,31.079844,73.10389,85.3,1,13.0,1.0,0.8513,6144.0,4.402,0.0,1.091,1.093,283.72592,49.479519,15.25,0.156,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,-0.069,-0.028,0.074,0
1.0,0,0,0,0,38.3775486,172.82048,0.468,5.588,724.2,1.40588,2.82,89.44,529.0,18.53,47.8,0.224,10.352898,31.946487,34.7,1,37.0,1.0,0.3889,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,0.0,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,-0.01,0.04,0.04,1
0.992,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.9471,3.86,89.96,439.0,8.76,70.75,0.1451,11.918161,37.877567,51.2,3,26.0,2.0,0.1551,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.123,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,0.07,0.03,0.08,1
1.0,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,3.28707,2.65,89.68,823.0,108.3,18.94,0.1451,5.834264,35.96252,47.1,3,167.0,3.0,0.7587,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.236,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,-0.02,0.05,0.05,1
1.0,0,0,0,0,16.01308419,176.3608,0.799,3.2554,1121.9,1.10942,3.1,88.14,593.0,29.31,24.7,0.1496,8.468995,31.066507,33.2,1,65.0,1.0,0.8555,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,0.167,-0.03,-0.36,-2e-05,0.00054,-0.06,-0.21,0.22,-0.18,-0.08,0.19,1
1.0,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,2.79093,3.36,89.98,506.0,15.55,53.95,0.2521,14.0889,61.372303,80.0,2,34.0,1.0,0.6386,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.047,-0.25,-0.17,0.00079,-0.00016,0.037,0.07,0.08,0.121,-0.09,0.15,1
0.978,0,0,0,0,91.7732862,193.8378,0.606,6.473,652.0,1.60558,2.12,89.61,359.0,3.92,89.4,0.2521,6.9461374,14.678595,19.1,2,11.0,2.0,0.7668,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,0.599,-0.5,-0.52,0.00041,0.00016,-0.36,-0.41,0.55,-0.35,-0.55,0.65,1
1.0,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802.0,1.46169,12.21,86.15,1103.0,349.4,12.386,0.2602,58.764744,670.4895,696.5,1,269.0,1.0,0.0517,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,0.705,0.0,-0.086,0.00011,-7e-05,-0.018,0.012,0.022,-0.021,-0.077,0.08,1
0.0,0,1,1,0,2.701287801,170.69579,1.016,3.3827,860.4,0.02818,6.54,62.69,1222.0,527.81,2.22,0.2327,5.044661,39.745068,48.3,1,387.0,1.0,0.3375,5550.0,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54,0.0,7.84,15.08,-0.00608,-0.01249,3.39,5.48,6.45,3.46,5.52,6.51,0
1.0,0,0,0,0,4.49876511,171.34905,0.312,3.7362,460.0,0.67106,2.1,88.0,1133.0,389.62,8.95,0.2889,4.435833,26.501581,29.5,1,238.0,1.0,0.1694,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,0.281,0.83,0.54,-0.00024,-0.0001,0.09,-0.12,0.15,0.18,0.04,0.19,1
0.0,0,1,0,0,19.651209505,179.401981,0.723,5.2514,11766.0,0.67559,12.42,88.27,730.0,67.03,23.98,0.2889,85.46643,509.4985,513.4,1,59.0,1.0,0.5224,6074.0,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536,0.518,-0.059,-0.022,0.00021,-0.0002,0.006,0.0,0.006,-0.028,0.033,0.043,0
1.0,0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,0.51087,2.94,85.12,1093.0,337.68,9.25,0.2676,46.475086,163.47614,166.7,3,244.0,1.0,0.2265,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,0.0,0.007,-0.175,-5.2e-05,-0.000137,-0.03,0.08,0.08,-0.16,-0.18,0.24,1
0.998,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,0.28189,5.5,89.31,516.0,16.72,29.47,0.224,27.788597,124.52492,141.1,1,33.0,1.0,0.4776,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,0.043,0.0,-0.15,-0.00022,-0.0004,-0.029,-0.072,0.078,-0.049,-0.069,0.085,1
1.0,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,6.73215,2.52,89.95,790.0,91.9,29.18,0.2521,5.6967807,36.34974,43.4,1,127.0,1.0,0.5047,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,0.645,0.32,0.09,-0.00025,-9e-05,0.0,0.09,0.09,0.04,-0.17,0.17,1
1.0,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1487.3,0.67162,4.43,85.95,1243.0,565.35,8.45,0.3024,9.387555,94.70979,128.6,1,323.0,1.0,0.6043,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,0.431,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,-0.066,0.036,0.075,1
1.0,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,16814.0,2.09079,12.21,89.37,1219.0,521.13,9.571,0.2291,104.64681,1328.3038,1406.8,1,474.0,1.0,0.7998,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,0.0,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,0.032,0.159,0.162,1
0.0,0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,0.0371,7.34,86.45,430.0,8.11,13.12,0.1646,52.86124,193.4089,236.1,1,31.0,1.0,0.0299,5040.0,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716,0.0,3.101,0.336,-0.0247,-0.0016,3.254,0.163,3.258,3.353,0.066,3.353,0
1.0,0,0,0,0,3.689920099,170.36571,0.151,2.6557,426.7,1.70798,1.89,89.19,1147.0,408.99,10.71,0.2889,4.8750124,31.786789,35.6,1,360.0,1.0,0.4053,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,0.255,-0.27,0.07,0.00017,0.00012,-0.27,0.05,0.27,-0.3,-0.02,0.3,1
1.0,0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,1.01996,3.25,87.72,1104.0,351.23,10.19,0.2555,6.815371,58.259056,71.1,3,302.0,1.0,0.52,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,0.016,0.03,0.82,0.0005,-0.0001,-0.097,0.03,0.1,-0.045,0.06,0.07,1
1.0,0,0,0,0,11.37936986,133.84992,0.911,2.6255,1023.5,0.63438,3.95,86.8,806.0,99.68,16.31,0.2555,5.2506146,29.930164,37.9,3,109.0,2.0,0.2364,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,0.372,0.93,0.88,-0.00041,-0.00017,0.09,-0.06,0.11,0.14,-0.05,0.15,1
1.0,0,0,0,0,26.39432897,176.05459,0.602,3.573,1510.9,2.93923,3.07,89.28,489.0,13.49,47.7,0.1959,8.917681,41.269753,48.2,1,51.0,1.0,0.2735,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,0.592,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,-0.18,0.05,0.18,1
1.0,0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,0.49865,2.64,87.07,785.0,89.61,16.93,0.2676,18.771214,76.76887,88.4,4,101.0,1.0,0.6645,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,0.044,0.61,0.0,-4.4e-05,0.000108,0.26,0.02,0.26,0.37,0.19,0.41,1
1.0,0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,0.23879,1.79,84.02,997.0,233.31,8.62,0.2676,6.1814723,39.793564,47.1,3,181.0,2.0,0.7788,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,0.009,0.29,-0.73,-6.9e-05,6.1e-05,0.03,0.04,0.06,-0.09,-0.21,0.23,1
0.014,0,1,0,0,7.442652004,169.9717797,0.137,2.3078,24446.0,7.48712,15.03,89.72,967.0,206.78,27.99,0.2965,115.64278,1044.7283,835.6,1,180.0,1.0,0.0786,6108.0,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27,0.0,-0.054,-0.201,0.0128,0.0041,-0.068,-0.035,0.076,-0.105,-0.061,0.122,0
1.0,0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,5.4538,2.0,90.0,433.0,8.35,42.62,0.0718,6.419572,28.122635,28.9,3,65.0,2.0,0.7202,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.204,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,-0.07,0.15,0.17,1
1.0,0,0,0,0,7.8774163,176.3759,0.041,2.0805,1306.1,8.09685,2.16,89.92,553.0,22.18,29.84,0.0718,10.036489,41.450657,38.7,3,135.0,1.0,0.5008,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.588,-0.34,0.27,0.00032,-2e-05,0.06,-0.03,0.07,-0.02,0.16,0.16,1
1.0,0,0,0,0,36.4454001,151.60125,0.028,4.007,1122.3,5.21237,1.99,89.98,332.0,2.88,71.53,0.0718,5.9903665,19.803268,21.7,3,27.0,3.0,0.6219,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,0.01,0.04,-0.58,-0.00014,0.00084,-0.01,0.17,0.17,-0.07,0.36,0.36,1
1.0,0,0,0,0,3.728732147,171.793255,0.558,2.683,5226.5,1.24118,6.02,86.7,1023.0,258.34,9.7,0.2396,28.264866,360.1958,345.2,1,357.0,1.0,0.6769,5497.0,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523,0.0,0.083,-0.217,0.00057,-0.00136,-0.072,0.041,0.083,0.033,-0.117,0.122,1
1.0,0,0,0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.50915,1.99,82.88,822.0,107.6,7.38,0.1171,4.251499,30.578562,38.9,1,472.0,1.0,0.5576,4149.0,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135,0.0,-0.06,0.46,-0.00024,-0.00057,0.19,0.27,0.33,0.05,-0.06,0.08,1
0.0,0,1,0,0,10.405998015,177.197466,0.324,6.5036,14489.0,0.38489,11.23,88.57,833.0,113.94,13.012,0.2865,97.352005,691.1691,745.2,1,117.0,1.0,0.8796,5746.0,4.393,-0.54,0.924,0.77,289.23553,50.241001,15.562,0.553,0.091,-0.188,-0.00025,0.0,-0.011,0.004,0.012,-0.026,-0.098,0.101,0
1.0,0,0,0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.41093,2.34,88.19,1070.0,311.16,8.86,0.1496,6.0310416,63.58795,82.4,2,578.0,1.0,0.6818,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,0.0,0.16,-0.45,6e-05,0.00045,0.027,0.05,0.061,0.357,0.2,0.41,1
1.0,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,3.14915,2.65,88.62,396.0,5.82,28.2,0.3872,11.461336,62.376225,71.0,1,115.0,1.0,0.6552,3688.0,4.79,0.0,0.473,0.503,296.22195,50.28722,15.937,0.178,0.63,0.92,-0.00029,0.0006,0.059,-0.03,0.066,0.29,0.628,0.69,1
1.0,0,0,0,0,6.575315881,173.634044,0.39,4.3084,2793.3,0.64392,5.31,88.03,1015.0,251.38,11.37,0.2965,20.537346,210.22159,221.1,1,205.0,1.0,0.5611,5992.0,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312,0.013,0.016,-0.099,0.00044,-7e-05,-0.033,-0.04,0.052,-0.009,-0.181,0.181,1
1.0,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3001.0,0.10578,4.86,85.29,833.0,113.64,6.66,0.224,24.639503,234.95987,312.1,1,188.0,1.0,0.1322,5485.0,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08,0.0,0.234,0.323,0.00066,0.00064,-0.054,-0.065,0.085,0.008,-0.134,0.134,1
1.0,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,8.48241,1.93,89.97,393.0,5.66,55.02,0.2589,6.437265,28.490973,37.1,2,67.0,1.0,0.8388,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,0.0,0.78,0.05,-0.00076,0.00145,0.2,-0.17,0.26,0.28,-0.23,0.36,1
1.0,0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,18.09666,1.91,89.22,488.0,13.43,45.9,0.2589,5.446764,21.658537,30.3,2,126.0,2.0,0.0088,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,0.0,-0.42,0.02,0.00053,0.00116,0.11,-0.23,0.25,0.17,-0.23,0.28,1
1.0,0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,0.27483,2.66,86.13,677.0,49.68,13.07,0.2665,5.6057496,31.608551,35.8,1,107.0,1.0,0.8571,5557.0,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505,0.758,0.13,0.39,0.00019,0.00011,-0.17,-0.04,0.17,-0.16,0.09,0.18,1
0.998,0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,0.22039,2.87,88.27,531.0,18.77,28.2,0.2676,16.554466,65.59482,83.7,4,29.0,2.0,0.9647,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,0.012,0.19,0.01,0.0002,0.00012,0.12,-0.2,0.23,0.21,-0.03,0.22,1
0.0,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,0.01791,21.55,56.44,1032.0,268.67,2.19,0.1959,5.0937037,32.72262,39.0,1,780.0,1.0,0.0,5295.0,4.551,-0.02,0.811,0.853,292.31595,38.27029,15.629,0.0,-8.51,0.75,0.00348,-0.00058,-5.106,0.825,5.172,-5.301,0.823,5.364,0
0.773,0,0,1,0,1.626630225,169.820171,1.26,2.1145,1620.6,0.09631,32.43,58.03,1547.0,1355.88,2.38,0.2711,5.3061833,45.885685,103.6,1,664.0,1.0,0.8796,5735.0,4.41,-0.18,0.973,0.889,294.36819,38.31028,15.279,0.0,0.09,-1.31,-2e-05,0.0008,0.1,-0.809,0.82,-0.006,-0.96,0.96,0
1.0,0,0,0,0,2.711504086,170.03417,0.023,3.0099,837.5,0.91618,3.12,89.81,1420.0,960.79,7.088,0.3024,6.3430967,48.726124,64.5,2,494.0,1.0,0.228,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,0.0,0.42,0.32,-0.00037,-0.0003,-0.02,0.05,0.05,0.02,0.1,0.104,1
1.0,0,0,0,0,7.21203748,172.81782,0.012,4.0491,950.4,0.99867,3.32,89.95,1025.0,260.58,14.003,0.3024,6.1683164,40.04205,51.5,2,165.0,2.0,0.3431,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,0.0,0.07,0.81,-0.00011,-0.00083,0.05,0.07,0.09,0.07,0.19,0.2,1
,0,0,0,1,14.1798187,171.50237,0.1601,2.505,459.9,7.76746,1.88,89.95,711.0,60.35,43.54,0.2714,,,11.2,1,,,,5799.0,4.539,-0.1,0.878,0.975,291.0448,51.321671,15.727,,,,,,,,,,,,0
